subj,s1b3p0d2,s1b3p0d1,s1b3p1d2,s1b3p1d1,s2b3p0d2,s2b3p0d1,s2b3p1d2,s2b3p1d1,s3b3p0d2,s3b3p0d1,s3b3p1d2,s3b3p1d1
1,0.12837,0.15659,0.14941,0.12208,0.1079,0.10993,0.083464,0.094194,0.088832,0.083006,0.083932,0.083418
2,0.16721,0.60483,0.15648,0.17994,0.18296,0.14156,0.16003,0.15124,0.20666,0.10609,0.16495,0.17812
3,0.11339,0.11326,0.11678,0.11609,0.14727,0.13504,0.12468,0.12587,0.1018,0.093351,0.097163,0.11119
4,0.22333,0.23522,0.18067,0.26466,0.18722,0.13904,0.16568,0.23019,0.27178,0.2189,0.17186,0.20566
5,0.23489,0.17521,0.12022,0.12392,0.12125,0.11965,0.1356,0.12869,0.16314,0.22545,0.16424,0.46934
6,0.29313,0.31923,0.30454,0.27841,0.13818,0.1651,0.20561,0.1438,0.13602,0.14537,0.14248,0.1574
7,0.18425,0.27151,0.2035,0.15427,0.16843,0.14382,0.16385,0.15982,0.14275,0.11413,0.13335,0.27957
8,0.38695,0.41091,0.32674,0.33141,0.12363,0.29954,0.12363,0.31936,0.14225,0.25776,0.11754,0.15106
9,0.28348,0.18388,0.17726,0.17827,0.1051,0.19479,0.11448,0.17976,0.17059,0.12088,0.14783,0.14012
10,0.29292,0.24881,0.13537,0.18501,0.14764,0.21307,0.2159,0.2353,0.15864,0.12743,0.098509,0.17169
11,0.15572,0.15963,0.15007,0.14388,0.13153,0.12995,0.1315,0.11514,0.13472,0.20087,0.25727,0.21754
12,0.20611,0.33932,0.17222,0.18013,0.34935,0.18321,0.28831,0.21699,0.31023,0.22421,0.15015,0.19794
13,0.13328,0.15109,0.13362,0.39328,0.16899,0.1544,0.19939,0.23384,0.17975,0.17376,0.14811,0.14681
14,0.1463,0.15598,0.13918,0.12671,0.11082,0.093639,0.11404,0.15132,0.13548,0.11946,0.11845,0.12302
15,0.12191,0.20762,0.1408,0.20813,0.14005,0.15194,0.15603,0.14248,0.14667,0.15292,0.13113,0.14019
16,0.33662,0.3372,0.27307,0.41838,0.40797,0.20376,0.37929,0.20934,0.60818,0.1032,0.16986,0.10161
17,0.19059,0.15477,0.16174,0.14335,0.13181,0.15244,0.13572,0.16271,0.13973,0.12037,0.14485,0.199
18,0.14467,0.14969,0.16727,0.16305,0.13337,0.15478,0.13305,0.17171,0.12759,0.17853,0.14443,0.17242
19,0.1364,0.17404,0.15154,0.13979,0.1452,0.15358,0.15207,0.13966,0.15542,0.13578,0.13368,0.14835
20,0.14109,0.12028,0.10702,0.11782,0.10206,0.13134,0.14986,0.12368,0.12798,0.10304,0.13731,0.12549
21,0.21841,0.33333,0.20031,0.17949,0.19786,0.17922,0.18236,0.16128,0.14998,0.1318,0.14033,0.13074
22,0.14737,0.10172,0.13377,0.12925,0.10146,0.096603,0.098007,0.11713,0.12121,0.097799,0.11011,0.10295
23,0.52025,0.60355,0.40192,0.49815,0.20237,0.15457,0.1945,0.17343,0.32172,0.1656,0.17037,0.15694
24,0.28914,0.17031,0.33216,0.18023,0.24565,0.145,0.18897,0.21691,0.19971,0.13406,0.1289,0.22696
25,0.32182,0.24829,0.38578,0.31036,0.3367,0.36209,0.32985,0.27592,0.22988,0.2614,0.26845,0.29659
26,0.12375,0.1061,0.12896,0.12803,0.10844,0.1398,0.11159,0.12428,0.097262,0.099629,0.083918,0.08869
