subj,s1b3p0d2,s1b3p0d1,s1b3p1d2,s1b3p1d1,s2b3p0d2,s2b3p0d1,s2b3p1d2,s2b3p1d1,s3b3p0d2,s3b3p0d1,s3b3p1d2,s3b3p1d1
1,0.071861720726839287, 0.062960846485653407, 0.070757401729898681, 0.1237749475209402, 0.11280685606573514, 0.11185496044991114, 0.1040162546350832, 0.14121975584981841, 0.131096261362904, 0.13040125709370581, 0.12726958342893588, 0.12671359357065859
2,0.11326208770526935, 0.095307898513650513, 0.12200330016903818, 0.10679191693603511, 0.09940083964848033, 0.097542831054143603, 0.11891570260580694, 0.10895162179228685, 0.089936619451296773, 0.091843877977291502, 0.084880235093980017, 0.087206731493637765
3,0.12573281824377069, 0.13305620332711671, 0.13133480916110984, 0.13201173594024493, 0.067533777326957825, 0.11480443663463855, 0.091845465291303413, 0.13163653864600652, 0.12681442177930999, 0.13243169198533566, 0.1314524593414132, 0.13074299154166957
4,0.096441985228918434, 0.13552609032905882, 0.11698812169860635, 0.1323786119560513, 0.10910094854334274, 0.13394261784511524, 0.11814813747908433, 0.12796409042972845, 0.11492959572619559, 0.11290967151173939, 0.11255116192296534, 0.13035587459416256
5,0.058279694130998878, 0.093037925301726582, 0.14421453890481153, 0.11874918125913815, 0.087295539761617122, 0.14563773227245252, 0.13872435815297796, 0.12628410538360973, 0.12400211056929132, 0.12510399957014587, 0.12127614250017153, 0.10616089946502848
6,0.12263409316861186, 0.11741059501565905, 0.12463936018518766, 0.12537512089883512, 0.12617686212048326, 0.11595293634098847, 0.099502140644593895, 0.096518568548780603, 0.10909888452539661, 0.10131634234950547, 0.10481177601532178, 0.098731526651281459
7,0.10663630195753847, 0.11945648232812661, 0.11694376087241619, 0.13749840426922905, 0.13500248357909875, 0.13744295907304704, 0.13665326474332662, 0.12660094604348121, 0.1212667037375304, 0.13942459919924566, 0.12591180024739493, 0.1144406113746755
8,0.029092295146010236, 0.041024910628962297, 0.043489075800932663, 0.050963083841827746, 0.1219506968472701, 0.11673179927270813, 0.12391353874614085, 0.10506477384376151, 0.11479985946701646, 0.10554269463207804, 0.12578927781811897, 0.11192212262728951
9,0.068304393953302664, 0.12518661286134528, 0.087582026540126479, 0.11535765051690464, 0.1223717694725872, 0.10746312697614471, 0.1223054705127317, 0.10435984777023363, 0.12122707604798054, 0.12654426096376362, 0.11539828099066987, 0.10854610634279593
10,0.031360260715054794, 0.098477775097236639, 0.06271190385625873, 0.019197799382267077, 0.11191862005100878, 0.12029323422086118, 0.090496436658394561, 0.080727969160372795, 0.10238349093819589, 0.10236965401803833, 0.11674143474901054, 0.092266796439496826
11,0.11889235981236311, 0.12038747974951342, 0.10842976270888367, 0.13814020379652744, 0.12714868944293617, 0.13970294214867521, 0.13160568030857578, 0.13492616636147223, 0.12611653499230177, 0.10614563208863513, 0.099146242148667046, 0.1047850002659295
12,0.12306896828412942, 0.1091971332659208, 0.11820138593289574, 0.1220635344060047, 0.11684155941688069, 0.12198088358674078, 0.11210324010451156, 0.12042213940308889, 0.10915179350014514, 0.11182365010857565, 0.11790039727997099, 0.11854343616330165
13,0.11979445002388107, 0.12169166723468273, 0.12262370728866748, 0.10522721321891636, 0.088731821267021352, 0.12440640287944379, 0.063816295471355505, 0.087259866370437533, 0.11753468189106725, 0.064399357516929656, 0.089214311958576251, 0.1249083805789377
14,0.11808230677357778, 0.13507316178157763, 0.12544515052080388, 0.13246926444648144, 0.12461473086687272, 0.13709227288965756, 0.11384385861804142, 0.13025868228474788, 0.11202407385687654, 0.13275014152176798, 0.12789646876680572, 0.12471119726584856
