subj,s1b3p0d2,s1b3p0d1,s1b3p1d2,s1b3p1d1,s2b3p0d2,s2b3p0d1,s2b3p1d2,s2b3p1d1,s3b3p0d2,s3b3p0d1,s3b3p1d2,s3b3p1d1
1,0.064157211069302986, 0.066221925503091847, 0.075556485204229348, 0.13002040438306234, 0.10981328656681581, 0.13350538759214992, 0.081705000457976379, 0.14506910394497827, 0.13072284211544327, 0.12894696222686328, 0.12788992612823294, 0.12428059446395513
2,0.12394922608656056, 0.12354548848361216, 0.12332789385050266, 0.11866008379363174, 0.11789419670401577, 0.11039185120954427, 0.12693766807837484, 0.12033225562974283, 0.10984895784461288, 0.10761396848959727, 0.11108230387751721, 0.10751596225311891
3,0.10615814991193549, 0.13615189147371495, 0.13198454658240383, 0.13033062033921833, 0.010724747364748301, 0.091521047537856184, 0.081750993322921947, 0.1262862415412061, 0.095310153453881483, 0.13743107474184221, 0.13313765230430108, 0.12904403547567209
4,0.062226795021390599, 0.12751660854202654, 0.10420978347411126, 0.13601597596418474, 0.083497131330864796, 0.12454180926782889, 0.10829297443373424, 0.13559593550855664, 0.1269022350392694, 0.12387026400513514, 0.10864061830660265, 0.13307299346786139
5,0.056285143903878225, 0.068885094471623234, 0.12356918153272213, 0.10256528482859527, 0.03937079999876781, 0.14605259340891302, 0.13614367212401282, 0.13353437217938813, 0.096166731679248371, 0.12941775417680462, 0.10239696265233079, 0.13533221210344926
6,0.12613534606852789, 0.13387490517392697, 0.070466457598261228, 0.12952838120462112, 0.12361650182937413, 0.12115672297571922, 0.10683682420723051, 0.1071236440173422, 0.12178034882504379, 0.11460001668435975, 0.11733630461790628, 0.10671825063424639
7,0.096019777474136855, 0.14347416344312269, 0.084188917498667679, 0.049384886973281319, 0.092093135031910758, 0.126775468635342, 0.11520251686402248, 0.10404419841174872, 0.072304858911720393, 0.12637166695229737, 0.11493139435888951, 0.12824102683075367
8,0.035413909644132928, 0.059812450119404843, 0.011843986644479651, 0.055405965731764872, 0.1219106219817962, 0.12800387722686674, 0.11720342380514454, 0.1374551677983476, 0.1140453621470376, 0.10279796325907521, 0.11208388447855071, 0.12155441505809937
9,0.044585593001632617, 0.074690609528214227, -0.032220455567870877, 0.077853483056516459, 0.12612057398996163, 0.12126056849592119, 0.12353791521584098, 0.10841906820415113, 0.12832751170830381, 0.1272217589216115, 0.11868385165911183, 0.11394106465222614
10,0.0060430091397174349, 0.093516143146658862, 0.091542444574956708, 0.026929663730459304, 0.10829023799235221, 0.12407006826858683, 0.080151823798330607, 0.068394167453992488, 0.09549800097822439, 0.09954573046501819, 0.12263831580636265, 0.095035061119107228
11,0.092057189993499128, 0.096167140711091906, 0.051000027438720889, 0.13968065297494464, 0.057648242540723198, 0.13609870622751247, 0.13181741256339766, 0.13740760280612693, 0.12524929954719913, 0.12112903793473734, 0.11982336869920328, 0.12355954205358255
12,0.12567323479458031, 0.13187312709017843, 0.12266262575311378, 0.12355570620835597, 0.1091065049093579, 0.12125160279947488, 0.1271880276128883, 0.12428073881880149, 0.12673411839689164, 0.11897930463459692, 0.12546844371155516, 0.11534862036972536
13,0.12078951443532199, 0.12772743039501691, 0.090715111897844813, 0.13624522128605637, 0.04800756958394687, 0.10109940564779514, 0.057930473656508295, 0.062802319040501334, 0.047762038618185378, 0.083154378615723432, 0.028023758630192307, 0.096195940767021038
14,0.12009917326129665, 0.12941724477570166, 0.12488712429981702, 0.13229185999640639, 0.12517696973713366, 0.1378259988804855, 0.12155793491735473, 0.12577603197983883, 0.10283482282859144, 0.13570288493413885, 0.13162908350056002, 0.12567695161427567
