subj,s1b3p0d2,s1b3p0d1,s1b3p1d2,s1b3p1d1,s2b3p0d2,s2b3p0d1,s2b3p1d2,s2b3p1d1,s3b3p0d2,s3b3p0d1,s3b3p1d2,s3b3p1d1
1,0.11904,0.12878,0.11917,0.12683,0.10759,0.10145,0.076913,0.08931,0.085313,0.081343,0.07782,0.078981
2,0.21242,0.29347,0.20518,0.26449,0.12728,0.09213,0.15089,0.1508,0.11112,0.078261,0.11248,0.089001
3,0.14094,0.12075,0.11887,0.12153,0.13225,0.13479,0.12136,0.14715,0.099409,0.091871,0.098669,0.10315
4,0.30499,0.30776,0.19794,0.26851,0.19317,0.14357,0.16347,0.18132,0.17434,0.17512,0.17544,0.18525
5,0.25215,0.22057,0.2049,0.12988,0.11251,0.11623,0.14175,0.13299,0.20305,0.27454,0.18174,0.25884
6,0.22722,0.20655,0.20922,0.2635,0.12781,0.19265,0.16167,0.30336,0.11636,0.12791,0.10903,0.14709
7,0.17619,0.17434,0.28276,0.25934,0.20922,0.1307,0.16137,0.17859,0.1382,0.1055,0.14321,0.19304
8,0.37569,0.30492,0.30546,0.27912,0.16397,0.22896,0.11649,0.18995,0.14303,0.29194,0.11047,0.1261
9,0.27891,0.25191,0.17597,0.20594,0.099381,0.14322,0.11257,0.15245,0.14484,0.12551,0.14579,0.12311
10,0.2725,0.24405,0.14101,0.16141,0.14969,0.20836,0.22879,0.16158,0.20396,0.13326,0.093031,0.14709
11,0.15617,0.16376,0.14596,0.16646,0.1463,0.18911,0.11914,0.10317,0.12323,0.14669,0.15364,0.14442
12,0.22142,0.22843,0.19901,0.30347,0.22671,0.14466,0.35235,0.19951,0.18881,0.19534,0.14856,0.18228
13,0.13628,0.14459,0.14968,0.25907,0.17983,0.16837,0.20823,0.15078,0.14347,0.18126,0.14666,0.14921
14,0.1469,0.16932,0.13667,0.12348,0.10322,0.095652,0.11257,0.14718,0.1335,0.11784,0.11708,0.11793
15,0.12651,0.13976,0.1281,0.16748,0.13078,0.15393,0.15266,0.13206,0.14181,0.14686,0.12822,0.14401
16,0.31523,0.28471,0.26229,0.25209,0.32064,0.17877,0.28871,0.24887,0.20396,0.12261,0.12584,0.12973
17,0.21342,0.25132,0.2026,0.15521,0.13776,0.15464,0.14498,0.15345,0.14405,0.15138,0.14471,0.14478
18,0.17152,0.17326,0.151,0.16261,0.13442,0.14409,0.11969,0.16707,0.14284,0.15215,0.15728,0.1878
19,0.13674,0.17217,0.16882,0.15224,0.17191,0.15236,0.12048,0.1463,0.18573,0.13913,0.14591,0.14576
20,0.090495,0.093762,0.090379,0.085636,0.084091,0.084956,0.089572,0.093885,0.10319,0.10776,0.09152,0.091613
21,0.25685,0.30517,0.18927,0.18002,0.18483,0.15465,0.17982,0.15306,0.14674,0.11898,0.12922,0.11511
22,0.15134,0.10484,0.13518,0.13344,0.099947,0.1083,0.10403,0.11545,0.12128,0.10122,0.10652,0.10577
23,0.42477,0.64208,0.43567,0.46572,0.23883,0.20564,0.2539,0.17347,0.25323,0.16196,0.17278,0.16289
24,0.29136,0.19738,0.30311,0.17128,0.21049,0.30029,0.2544,0.13351,0.16564,0.10844,0.1224,0.14289
25,0.20445,0.18379,0.29009,0.24493,0.23688,0.25636,0.23593,0.22146,0.16854,0.3406,0.25261,0.35942
26,0.11962,0.1043,0.19673,0.14292,0.10721,0.14186,0.10272,0.09912,0.091811,0.087705,0.13323,0.089759
