subj,s1b3p0d2,s1b3p0d1,s1b3p1d2,s1b3p1d1,s2b3p0d2,s2b3p0d1,s2b3p1d2,s2b3p1d1,s3b3p0d2,s3b3p0d1,s3b3p1d2,s3b3p1d1
1,0.49139,0.43183,0.40513,0.40732,0.38849,0.46616,0.48639,0.46485,0.38302,0.38235,0.38391,0.37818
2,0.25619,0.0006745,0.28475,0.23264,0.30383,0.36395,0.31985,0.34511,0.27685,0.32529,0.2803,0.30783
3,0.27822,0.32706,0.32214,0.32059,0.31392,0.31625,0.38698,0.30253,0.31771,0.35569,0.33058,0.30738
4,0.011962,0.063802,0.32097,0.21551,0.29736,0.37521,0.33933,0.31962,0.27741,0.30337,0.28112,0.29648
5,0.15755,0.24775,0.2717,0.49573,0.47013,0.43486,0.40684,0.42572,0.27172,0.25445,0.2998,0.17523
6,0.2926,0.3229,0.26387,0.15367,0.34303,0.22909,0.25362,0.020519,0.30777,0.27838,0.31736,0.28052
7,0.41297,0.42057,0.02244,0.13896,0.2961,0.46286,0.42982,0.34638,0.37013,0.43339,0.38255,0.31132
8,0.0080938,0.23153,0.0084397,0.17212,0.37668,0.21562,0.4338,0.32731,0.33766,0.22218,0.35774,0.37514
9,0.26099,0.21427,0.41444,0.32112,0.32115,0.25089,0.26845,0.24698,0.29217,0.29992,0.3139,0.32575
10,0.13361,0.22658,0.21439,0.16688,0.30823,0.26878,0.24349,0.38962,0.25465,0.3041,0.31833,0.29547
11,0.31237,0.28262,0.32273,0.2996,0.41402,0.27217,0.43686,0.4364,0.37175,0.34393,0.35002,0.31721
12,0.28805,0.24207,0.35209,0.21743,0.12242,0.40059,0.0080072,0.32144,0.34727,0.34017,0.29367,0.28942
13,0.44911,0.45924,0.48028,0.29161,0.31054,0.32001,0.16625,0.41011,0.30183,0.20672,0.23886,0.27836
14,0.32477,0.25657,0.25246,0.31633,0.37307,0.44304,0.37991,0.25974,0.25631,0.33084,0.3175,0.31086
15,0.3838,0.4274,0.3505,0.31752,0.32552,0.2832,0.22766,0.26318,0.25961,0.25747,0.23994,0.19409
16,0.15617,0.17996,0.2355,0.22745,0.14169,0.4178,0.22466,0.31495,0.28223,0.36274,0.34386,0.3314
17,0.34549,0.21817,0.23048,0.36082,0.37505,0.32204,0.30567,0.25924,0.35518,0.3166,0.37376,0.35582
18,0.27777,0.24807,0.20754,0.17082,0.33334,0.36468,0.417,0.30608,0.34523,0.35295,0.28351,0.038721
19,0.41493,0.30223,0.40486,0.39788,0.27227,0.29857,0.37551,0.31976,0.24425,0.35338,0.36581,0.35282
20,0.31489,0.31664,0.32828,0.32588,0.32735,0.32732,0.31374,0.32285,0.33216,0.33821,0.33633,0.33836
21,0.084394,0.074404,0.28626,0.30683,0.28479,0.32519,0.33347,0.34962,0.30726,0.36236,0.32365,0.35977
22,0.31273,0.42814,0.33556,0.35844,0.31726,0.27868,0.32016,0.27374,0.26036,0.31338,0.32452,0.3412
23,0.22819,0.12997,0.0034112,0.019255,0.31397,0.41087,0.21268,0.42228,0.21228,0.30998,0.29961,0.31381
24,0.077321,0.24176,0.20153,0.33819,0.27868,0.21141,0.18861,0.39539,0.31843,0.37138,0.36513,0.31346
25,0.39933,0.37505,0.23056,0.31672,0.33704,0.27125,0.37821,0.35274,0.37074,0.23196,0.29694,0.23426
26,0.38211,0.38363,0.12244,0.3669,0.41817,0.35283,0.43227,0.45597,0.39306,0.41921,0.24955,0.38819
