subj,s1b1p1d1,s1b1p1d2,s1b1p0d1,s1b1p0d2,s1b3p0d2,s1b3p0d1,s1b3p1d2,s1b3p1d1,s2b1p1d1,s2b1p1d2,s2b1p0d1,s2b1p0d2,s2b3p0d2,s2b3p0d1,s2b3p1d2,s2b3p1d1,s3b1p1d1,s3b1p1d2,s3b1p0d1,s3b1p0d2,s3b3p0d2,s3b3p0d1,s3b3p1d2,s3b3p1d1
1,0.17387,0.11016,0.13459,0.16228,0.11904,0.12878,0.11917,0.12683,0.1349,0.07756,0.093227,0.091113,0.10759,0.10145,0.076913,0.08931,0.073977,0.085085,0.070171,0.081007,0.085313,0.081343,0.07782,0.078981
2,0.17738,0.13122,0.12565,0.15217,0.21242,0.29347,0.20518,0.26449,0.10506,0.11467,0.086809,0.24249,0.12728,0.09213,0.15089,0.1508,0.091454,0.086064,0.092287,0.11729,0.11112,0.078261,0.11248,0.089001
3,0.064961,0.11062,0.12179,0.092396,0.14094,0.12075,0.11887,0.12153,0.10798,0.12269,0.1424,0.15184,0.13225,0.13479,0.12136,0.14715,0.11424,0.18498,0.13792,0.10727,0.099409,0.091871,0.098669,0.10315
4,0.17343,0.20895,0.28671,0.20588,0.30499,0.30776,0.19794,0.26851,0.16317,0.16233,0.14173,0.16735,0.19317,0.14357,0.16347,0.18132,0.23834,0.18803,0.17209,0.22492,0.17434,0.17512,0.17544,0.18525
5,0.21285,0.18524,0.27627,0.2951,0.25215,0.22057,0.2049,0.12988,0.094637,0.13921,0.15825,0.11214,0.11251,0.11623,0.14175,0.13299,0.20194,0.2261,0.22293,0.21853,0.20305,0.27454,0.18174,0.25884
6,0.13739,0.27176,0.13971,0.3025,0.22722,0.20655,0.20922,0.2635,0.10466,0.13748,0.13361,0.18557,0.12781,0.19265,0.16167,0.30336,0.094828,0.11262,0.087502,0.16736,0.11636,0.12791,0.10903,0.14709
7,0.34581,0.25437,0.35702,0.42763,0.17619,0.17434,0.28276,0.25934,0.27863,0.15431,0.15031,0.17469,0.20922,0.1307,0.16137,0.17859,0.17196,0.15363,0.1582,0.19416,0.1382,0.1055,0.14321,0.19304
8,0.3463,0.32651,0.2489,0.31135,0.37569,0.30492,0.30546,0.27912,0.33094,0.18258,0.23463,0.22233,0.16397,0.22896,0.11649,0.18995,0.13311,0.17381,0.13123,0.1235,0.14303,0.29194,0.11047,0.1261
9,0.27048,0.27981,0.26677,0.19156,0.27891,0.25191,0.17597,0.20594,0.11648,0.13636,0.099324,0.13222,0.099381,0.14322,0.11257,0.15245,0.13072,0.10865,0.13384,0.15403,0.14484,0.12551,0.14579,0.12311
10,0.10856,0.18894,0.14392,0.20164,0.2725,0.24405,0.14101,0.16141,0.18092,0.16913,0.13305,0.18546,0.14969,0.20836,0.22879,0.16158,0.10324,0.096262,0.14207,0.16735,0.20396,0.13326,0.093031,0.14709
11,0.21659,0.19831,0.15715,0.13101,0.15617,0.16376,0.14596,0.16646,0.1341,0.13039,0.151,0.14823,0.1463,0.18911,0.11914,0.10317,0.1315,0.12598,0.11121,0.13096,0.12323,0.14669,0.15364,0.14442
12,0.10618,0.20715,0.27983,0.12227,0.22142,0.22843,0.19901,0.30347,0.18516,0.17805,0.30177,0.1632,0.22671,0.14466,0.35235,0.19951,0.16788,0.16477,0.14056,0.16963,0.18881,0.19534,0.14856,0.18228
13,0.13115,0.13982,0.14221,0.11911,0.13628,0.14459,0.14968,0.25907,0.20737,0.1693,0.17903,0.22777,0.17983,0.16837,0.20823,0.15078,0.18407,0.2114,0.19314,0.15941,0.14347,0.18126,0.14666,0.14921
14,0.11965,0.1273,0.11546,0.11064,0.1469,0.16932,0.13667,0.12348,0.15872,0.090943,0.0845,0.12338,0.10322,0.095652,0.11257,0.14718,0.11808,0.11379,0.16857,0.17458,0.1335,0.11784,0.11708,0.11793
15,0.16475,0.15567,0.15499,0.1606,0.12651,0.13976,0.1281,0.16748,0.15719,0.17255,0.13182,0.14449,0.13078,0.15393,0.15266,0.13206,0.14784,0.15237,0.18538,0.15045,0.14181,0.14686,0.12822,0.14401
16,0.27101,0.44105,0.25127,0.31587,0.31523,0.28471,0.26229,0.25209,0.25699,0.27672,0.27628,0.23498,0.32064,0.17877,0.28871,0.24887,0.15039,0.11461,0.11146,0.17765,0.20396,0.12261,0.12584,0.12973
17,0.15047,0.19466,0.19377,0.15786,0.21342,0.25132,0.2026,0.15521,0.14587,0.1322,0.1397,0.15254,0.13776,0.15464,0.14498,0.15345,0.13224,0.15386,0.12917,0.14581,0.14405,0.15138,0.14471,0.14478
18,0.18013,0.15899,0.12089,0.13196,0.17152,0.17326,0.151,0.16261,0.15319,0.17361,0.22881,0.1363,0.13442,0.14409,0.11969,0.16707,0.15124,0.15163,0.16674,0.1771,0.14284,0.15215,0.15728,0.1878
