subj,s1b1p1d1,s1b1p1d2,s1b1p0d1,s1b1p0d2,s1b3p0d2,s1b3p0d1,s1b3p1d2,s1b3p1d1,s2b1p1d1,s2b1p1d2,s2b1p0d1,s2b1p0d2,s2b3p0d2,s2b3p0d1,s2b3p1d2,s2b3p1d1,s3b1p1d1,s3b1p1d2,s3b1p0d1,s3b1p0d2,s3b3p0d2,s3b3p0d1,s3b3p1d2,s3b3p1d1
1,0.59756,0.60119,0.62261,0.54135,0.49139,0.43183,0.40513,0.40732,0.31549,0.48039,0.37864,0.3374,0.38849,0.46616,0.48639,0.46485,0.38585,0.33849,0.38283,0.38458,0.38302,0.38235,0.38391,0.37818
2,0.35899,0.36784,0.37488,0.4026,0.25619,0.0006745,0.28475,0.23264,0.37271,0.30918,0.37337,0.25888,0.30383,0.36395,0.31985,0.34511,0.3131,0.31048,0.29772,0.27613,0.27685,0.32529,0.2803,0.30783
3,0.33945,0.31793,0.33424,0.32737,0.27822,0.32706,0.32214,0.32059,0.36791,0.36448,0.24957,0.24632,0.31392,0.31625,0.38698,0.30253,0.33611,0.25681,0.29969,0.32047,0.31771,0.35569,0.33058,0.30738
4,0.34916,0.23045,0.17912,0.22276,0.011962,0.063802,0.32097,0.21551,0.34309,0.27226,0.37817,0.30377,0.29736,0.37521,0.33933,0.31962,0.22366,0.2939,0.30639,0.24778,0.27741,0.30337,0.28112,0.29648
5,0.26357,0.37944,0.023447,0.15561,0.15755,0.24775,0.2717,0.49573,0.43152,0.43196,0.36371,0.4515,0.47013,0.43486,0.40684,0.42572,0.22512,0.2001,0.13334,0.19335,0.27172,0.25445,0.2998,0.17523
6,0.34377,0.18303,0.35641,0.15276,0.2926,0.3229,0.26387,0.15367,0.3023,0.29449,0.27059,0.24656,0.34303,0.22909,0.25362,0.020519,0.31101,0.29916,0.31792,0.1953,0.30777,0.27838,0.31736,0.28052
7,0.091786,0.34256,0.13237,0.0033095,0.41297,0.42057,0.02244,0.13896,0.19466,0.38455,0.36397,0.38806,0.2961,0.46286,0.42982,0.34638,0.32966,0.35771,0.37677,0.33499,0.37013,0.43339,0.38255,0.31132
8,0.1795,0.078532,0.17783,0.033277,0.0080938,0.23153,0.0084397,0.17212,0.15132,0.29706,0.22714,0.18047,0.37668,0.21562,0.4338,0.32731,0.3754,0.33371,0.37033,0.3865,0.33766,0.22218,0.35774,0.37514
9,0.18005,0.14032,0.26188,0.42521,0.26099,0.21427,0.41444,0.32112,0.30543,0.28357,0.28147,0.33949,0.32115,0.25089,0.26845,0.24698,0.31275,0.31461,0.29606,0.32001,0.29217,0.29992,0.3139,0.32575
10,0.46093,0.24016,0.18884,0.3687,0.13361,0.22658,0.21439,0.16688,0.3439,0.39515,0.34425,0.2601,0.30823,0.26878,0.24349,0.38962,0.3145,0.31393,0.29817,0.28433,0.25465,0.3041,0.31833,0.29547
11,0.21588,0.23441,0.30008,0.32539,0.31237,0.28262,0.32273,0.2996,0.40189,0.37375,0.39242,0.37575,0.41402,0.27217,0.43686,0.4364,0.32545,0.32779,0.31771,0.44302,0.37175,0.34393,0.35002,0.31721
12,0.46524,0.31084,0.3078,0.44684,0.28805,0.24207,0.35209,0.21743,0.33418,0.31911,0.13486,0.36754,0.12242,0.40059,0.0080072,0.32144,0.35022,0.3702,0.3281,0.29974,0.34727,0.34017,0.29367,0.28942
